text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mm)y,"Masekhet: 71016, Page: 003, Side: 1, Line: 09, Word: 0",P01,,,,,mˀy,,,,what,,,,ממאי,m)y,preposition independent,what
dhdyN,"Masekhet: 71016, Page: 003, Side: 1, Line: 09, Word: 1",c,R,,,,dy,hdn,,,"who,which (relative)",this (m.),,,דהדין,hdyn,conjunction | R,"who,which (relative) | this (m.)"
"""slswl""","Masekhet: 71016, Page: 003, Side: 1, Line: 09, Word: 2",No data,,,,,,,,,,,,,סלסול,None,No data,
d$(r',"Masekhet: 71016, Page: 003, Side: 1, Line: 09, Word: 3",c,noun sg. emphatic,,,,dy,"sˁr, sˁrˀ",,,"who,which (relative)",hair,,,דשער',&(r),conjunction | noun sg. emphatic,"who,which (relative) | hair"
hw';,"Masekhet: 71016, Page: 003, Side: 1, Line: 09, Word: 4",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הו';,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
mm)y,"Masekhet: 71016, Page: 003, Side: 1, Line: 13, Word: 0",P01,,,,,mˀy,,,,what,,,,ממאי,m)y,preposition independent,what
dh)y,"Masekhet: 71016, Page: 003, Side: 1, Line: 13, Word: 1",c,P01,,,,dy,hˀy,,,"who,which (relative)",this,,,דהאי,h)y,conjunction | preposition independent,"who,which (relative) | this"
"""klkwl""","Masekhet: 71016, Page: 003, Side: 1, Line: 14, Word: 0",No data,,,,,,,,,,,,,כלכול,None,No data,
$(r',"Masekhet: 71016, Page: 003, Side: 1, Line: 14, Word: 1",noun sg. emphatic,,,,,"sˁr, sˁrˀ",,,,hair,,,,שער',&(r),noun sg. emphatic,hair
hw);,"Masekhet: 71016, Page: 003, Side: 1, Line: 14, Word: 2",P01,,,,,hwˀ,,,,he,,,,הוא;,hw),preposition independent,he
"""kylkwl""","Masekhet: 71016, Page: 003, Side: 1, Line: 15, Word: 0",No data,,,,,,,,,,,,,כילכול,None,No data,
..;,"Masekhet: 71016, Page: 003, Side: 1, Line: 15, Word: 1",No data,,,,,,,,,,,,,;,None,No data,
bt,"Masekhet: 71016, Page: 003, Side: 1, Line: 15, Word: 2",verb G,,,,,bwt,,,,"to spend the night, lodge",,,,בת,bwt,verb peal,"to spend the night, lodge"
