masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
5330015,43,d,39,Yerushalmi,0.0,0.3333,0.6667,0.5,1.0,0.0,0.0,3.0,3.3333,0.0,0.3333
5330015,43,d,41,Yerushalmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
5330015,43,d,42,Yerushalmi,0.0,0.0,0.25,0.875,1.0,0.0,0.0,16.0,3.25,0.125,0.125
5330015,43,d,43,Yerushalmi,0.0,0.0,0.0,0.25,0.5,0.0,0.0,4.0,3.75,0.0,0.0
5330015,43,d,45,Yerushalmi,0.0,0.3333,0.3333,0.5,0.0,0.0,0.0,3.0,4.3333,0.0,0.0
5330015,43,d,54,Yerushalmi,0.0,0.0833,0.5,0.75,0.3333,0.0,0.0,12.0,3.5833,0.0,0.5
5330015,43,d,55,Yerushalmi,0.0,0.0,1.0,0.5,2.0,0.0,0.0,1.0,9.0,0.0,0.0
5330015,44,a,21,Yerushalmi,0.0,0.3333,0.0,0.5,0.0,0.0,1.0,3.0,4.6667,0.0,0.0
5330015,44,a,61,Yerushalmi,0.0,0.1429,0.1429,0.3571,0.3571,0.0,0.0,14.0,3.7143,0.0,0.0
5330015,44,a,63,Yerushalmi,0.0769,0.0769,0.1538,0.8462,0.4615,0.0,0.0,13.0,4.0,0.5,0.0
5330015,44,a,64,Yerushalmi,0.0909,0.0909,0.0909,0.4545,0.2727,0.0,0.5,11.0,4.0909,0.3333,0.3333
5330015,44,b,06,Yerushalmi,0.0,0.2,0.4,1.0,0.4,0.0,0.0,5.0,3.4,0.5,0.0
5330015,44,b,07,Yerushalmi,0.25,0.0833,0.5833,1.0,0.6667,0.0,0.25,12.0,4.1667,0.125,0.25
5330015,44,b,08,Yerushalmi,0.0,0.25,0.25,0.875,1.0,0.0,0.0,8.0,3.875,0.0,0.0
5330015,44,b,20,Yerushalmi,0.3333,0.0,0.6667,0.5,0.3333,0.0,0.0,3.0,4.0,0.0,0.0
5330015,44,b,22,Yerushalmi,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
